run_id,type,name,row,col,value
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,24,1,1.0072150280376
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,25,1,1.03751814579551
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,26,1,1.03751814579551
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,27,1,1.0072150280376
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,28,1,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,29,1,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,1,2,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,2,2,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,3,2,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,4,2,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,5,2,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,6,2,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,7,2,1.02140077821012
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,8,2,0.980544747081712
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,9,2,0.994163424124514
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,10,2,1.00097276264591
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,11,2,0.987354085603113
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,12,2,0.994163424124514
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,13,2,0.994163424124514
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,14,2,1.00097276264591
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,15,2,1.02140077821012
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,16,2,1.00097276264591
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,17,2,0.994163424124514
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,18,2,0.994163424124514
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,19,2,1.00778210116732
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,20,2,0.994163424124514
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,21,2,1.00097276264591
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,22,2,0.994163424124514
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,23,2,0.994163424124514
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,24,2,1.00778210116732
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,25,2,1.01459143968872
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,26,2,1.00778210116732
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,27,2,0.994163424124514
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,28,2,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,29,2,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,1,3,1.25252550760152
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,2,3,1.01010102030406
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,3,3,1.10101020304061
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,4,3,1.10101020304061
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,5,3,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,6,3,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,7,3,0.949494898479695
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,8,3,1.10101020304061
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,9,3,1.01010102030406
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,10,3,0.949494898479695
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,11,3,0.919191837567513
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,12,3,1.01010102030406
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,13,3,0.919191837567513
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,14,3,1.01010102030406
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,15,3,0.919191837567513
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,16,3,0.949494898479695
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,17,3,0.88888877665533
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,18,3,0.88888877665533
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,19,3,0.979797959391878
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,20,3,1.04040408121624
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,21,3,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,22,3,-999
0029_1.E.B.J.EC3_0-bspm_F_est,Data,sigmao_mat,23,3,-999
